frame,matches,corr_3d2d,inliers,success,pnp_success,pnp_inliers,t_norm,rot_angle,reproj_rmse
312,200,200,158,True,True,158,0.05701291488479211,6.630180775378576,0.8222698373245421
313,200,198,158,True,True,158,0.05899959421589811,6.9761165341887725,0.9429846103426351
314,200,197,154,True,True,154,0.07101937859597554,7.058547883042959,0.9743385321126833
315,200,200,167,True,True,167,0.06509603890885268,7.256255735313807,0.9913193936586316
316,200,200,169,True,True,169,0.06174584783539973,7.896374384982515,0.9103738243885277
317,200,200,168,True,True,168,0.046031221048060296,7.520239784673941,0.9246576417607308
318,200,200,161,True,True,161,0.05825914571725798,7.0560318344845205,0.939786359515942
319,200,200,168,True,True,168,0.06028903883204888,6.643380145009899,0.9209733172300243
320,200,200,178,True,True,178,0.04992837485013882,6.096710613942481,0.8094691271300933
321,200,200,192,True,True,192,0.04106061602845953,6.718714140746148,0.8162099068622017
322,200,200,172,True,True,172,0.05105841814014133,7.418469881046935,0.8717567811003673
323,200,195,156,True,True,156,0.048825528417221424,7.740997222021804,0.8650332722457433
324,200,199,172,True,True,172,0.026854769528756595,7.720259774449862,0.8910024396541483
325,200,189,153,True,True,153,0.021202973557083175,8.01458901630304,0.9668267835125387
326,200,182,154,True,True,154,0.026650677034985026,8.205323407563109,0.8193388528120013
327,200,197,152,True,True,152,0.01337512885936939,8.50889852315387,0.792971165788262
328,200,199,166,True,True,166,0.029536165486723522,8.43278324572373,0.8587065028372034
329,200,198,173,True,True,173,0.02372436027317334,8.467986624767647,0.8542554703365962
330,200,195,150,True,True,150,0.02020380659249817,7.966511919155401,0.8401018721640047
331,200,190,159,True,True,159,0.029802136434794096,7.261401172811336,0.8542497503178663
332,200,145,128,True,True,128,0.029428832835771343,7.147218523132107,0.857388019983182
333,200,149,132,True,True,132,0.040712043545139895,7.767032657918714,0.8564990031404984
334,200,147,122,True,True,122,0.03223041595095808,8.04891362750703,0.894001766922708
335,200,146,117,True,True,117,0.03516870309800122,8.145018312445906,0.9435078350211755
336,200,138,114,True,True,114,0.03153092224014041,7.004106981099406,0.8813876764626477
337,200,124,101,True,True,101,0.032602024975767134,5.73943158799085,0.8560180957772376
